,Year,Gender,Immigrants
311,2015,Male,626
312,2015,Male,392
313,2015,Male,110
314,2015,Male,579
315,2015,Male,313
316,2015,Male,575
317,2015,Male,1032
318,2015,Male,679
319,2015,Male,312
320,2015,Male,177
321,2015,Male,268
322,2015,Male,1607
323,2015,Male,780
324,2015,Male,587
325,2015,Male,205
326,2015,Male,805
327,2015,Male,125
328,2015,Male,564
329,2015,Male,205
330,2015,Male,135
331,2015,Male,112
332,2015,Male,99
333,2015,Male,20
334,2015,Male,481
335,2015,Male,498
336,2015,Male,510
337,2015,Male,382
338,2015,Male,17
339,2015,Male,203
340,2015,Male,77
341,2015,Male,409
342,2015,Male,278
343,2015,Male,497
344,2015,Male,189
345,2015,Male,70
346,2015,Male,303
347,2015,Male,37
348,2015,Male,407
349,2015,Male,61
350,2015,Male,310
351,2015,Male,898
352,2015,Male,548
353,2015,Male,272
354,2015,Male,470
355,2015,Male,935
356,2015,Male,612
357,2015,Male,442
358,2015,Male,243
359,2015,Male,800
360,2015,Male,348
361,2015,Male,921
362,2015,Male,474
363,2015,Male,496
364,2015,Male,529
365,2015,Female,2118
366,2015,Female,1038
367,2015,Female,746
368,2015,Female,1250
369,2015,Female,1005
370,2015,Female,1722
371,2015,Female,1597
372,2015,Female,1493
373,2015,Female,1844
374,2015,Female,1108
375,2015,Female,1321
376,2015,Female,28
377,2015,Female,674
378,2015,Female,390
379,2015,Female,569
380,2015,Female,451
381,2015,Female,767
382,2015,Female,1285
383,2015,Female,1099
384,2015,Female,714
385,2015,Female,350
386,2015,Female,121
387,2015,Female,608
388,2015,Female,396
389,2015,Female,642
390,2015,Female,1236
391,2015,Female,780
392,2015,Female,351
393,2015,Female,195
394,2015,Female,286
395,2015,Female,1895
396,2015,Female,863
397,2015,Female,618
398,2015,Female,197
399,2015,Female,858
400,2015,Female,105
401,2015,Female,601
402,2015,Female,215
403,2015,Female,136
404,2015,Female,110
405,2015,Female,85
406,2015,Female,8
407,2015,Female,507
408,2015,Female,507
409,2015,Female,494
410,2015,Female,378
411,2015,Female,24
412,2015,Female,232
413,2015,Female,85
414,2015,Female,433
415,2015,Female,316
416,2015,Female,564
417,2015,Female,191
418,2015,Female,71
419,2015,Female,297
420,2015,Female,36
421,2015,Female,287
422,2015,Female,49
423,2015,Female,269
424,2015,Female,913
425,2015,Female,628
426,2015,Female,295
427,2015,Female,462
428,2015,Female,1013
429,2015,Female,603
430,2015,Female,449
431,2015,Female,241
432,2015,Female,804
433,2015,Female,325
434,2015,Female,652
435,2015,Female,467
436,2015,Female,463
437,2015,Female,564
438,2014,Male,2810
439,2014,Male,947
440,2014,Male,704
441,2014,Male,1175
442,2014,Male,916
443,2014,Male,1357
444,2014,Male,1319
445,2014,Male,1303
446,2014,Male,1594
447,2014,Male,1137
448,2014,Male,1467
449,2014,Male,20
450,2014,Male,710
451,2014,Male,293
452,2014,Male,544
453,2014,Male,455
454,2014,Male,703
455,2014,Male,1222
456,2014,Male,922
457,2014,Male,682
458,2014,Male,349
459,2014,Male,93
460,2014,Male,510
461,2014,Male,369
462,2014,Male,553
463,2014,Male,980
464,2014,Male,693
465,2014,Male,308
466,2014,Male,166
467,2014,Male,292
468,2014,Male,1511
469,2014,Male,730
470,2014,Male,539
471,2014,Male,163
472,2014,Male,682
473,2014,Male,106
474,2014,Male,524
475,2014,Male,208
476,2014,Male,109
477,2014,Male,83
478,2014,Male,95
479,2014,Male,9
480,2014,Male,467
481,2014,Male,473
482,2014,Male,488
483,2014,Male,328
484,2014,Male,22
485,2014,Male,186
486,2014,Male,75
487,2014,Male,380
488,2014,Male,275
489,2014,Male,431
490,2014,Male,184
491,2014,Male,78
492,2014,Male,356
493,2014,Male,29
494,2014,Male,387
495,2014,Male,57
496,2014,Male,320
497,2014,Male,832
498,2014,Male,594
499,2014,Male,272
500,2014,Male,429
501,2014,Male,888
502,2014,Male,579
