,Year,District Name,Age,Immigrants
142,2017,Sant Martí,5-9,36
143,2017,Sant Martí,5-9,87
144,2017,Sant Martí,5-9,23
145,2017,Sant Martí,5-9,31
146,2017,Sant Martí,5-9,47
147,2017,No consta,5-9,0
148,2017,Ciutat Vella,10-14,117
149,2017,Ciutat Vella,10-14,26
150,2017,Ciutat Vella,10-14,11
151,2017,Ciutat Vella,10-14,36
152,2017,Eixample,10-14,42
153,2017,Eixample,10-14,77
154,2017,Eixample,10-14,61
155,2017,Eixample,10-14,54
156,2017,Eixample,10-14,51
157,2017,Eixample,10-14,57
158,2017,Sants-Montjuïc,10-14,64
159,2017,Sants-Montjuïc,10-14,0
160,2017,Sants-Montjuïc,10-14,66
161,2017,Sants-Montjuïc,10-14,8
162,2017,Sants-Montjuïc,10-14,23
163,2017,Sants-Montjuïc,10-14,28
164,2017,Sants-Montjuïc,10-14,42
165,2017,Sants-Montjuïc,10-14,69
166,2017,Les Corts,10-14,58
167,2017,Les Corts,10-14,42
168,2017,Les Corts,10-14,66
169,2017,Sarrià-Sant Gervasi,10-14,7
170,2017,Sarrià-Sant Gervasi,10-14,57
171,2017,Sarrià-Sant Gervasi,10-14,34
172,2017,Sarrià-Sant Gervasi,10-14,81
173,2017,Sarrià-Sant Gervasi,10-14,105
174,2017,Sarrià-Sant Gervasi,10-14,64
175,2017,Gràcia,10-14,20
176,2017,Gràcia,10-14,21
177,2017,Gràcia,10-14,19
178,2017,Gràcia,10-14,49
179,2017,Gràcia,10-14,35
180,2017,Horta-Guinardó,10-14,36
181,2017,Horta-Guinardó,10-14,5
182,2017,Horta-Guinardó,10-14,54
183,2017,Horta-Guinardó,10-14,9
184,2017,Horta-Guinardó,10-14,42
185,2017,Horta-Guinardó,10-14,15
186,2017,Horta-Guinardó,10-14,25
187,2017,Horta-Guinardó,10-14,6
188,2017,Horta-Guinardó,10-14,7
189,2017,Horta-Guinardó,10-14,0
190,2017,Horta-Guinardó,10-14,49
191,2017,Nou Barris,10-14,36
192,2017,Nou Barris,10-14,54
193,2017,Nou Barris,10-14,41
194,2017,Nou Barris,10-14,1
195,2017,Nou Barris,10-14,20
196,2017,Nou Barris,10-14,5
